Region,Date,Fatalities,Year,Month,Day,Quarter
Banadir,2018.4630136986302,1,2018,6,19,2
Banadir,2018.4630136986302,1,2018,6,19,2
Banadir,2018.4657534246576,0,2018,6,20,2
Banadir,2018.4657534246576,0,2018,6,20,2
Banadir,2018.468493150685,0,2018,6,21,2
Banadir,2018.4712328767123,0,2018,6,22,2
Banadir,2018.4712328767123,0,2018,6,22,2
Banadir,2018.4739726027397,0,2018,6,23,2
Banadir,2018.4739726027397,0,2018,6,23,2
Banadir,2018.4739726027397,0,2018,6,23,2
Banadir,2018.482191780822,1,2018,6,26,2
Banadir,2018.482191780822,1,2018,6,26,2
Banadir,2018.4849315068493,1,2018,6,27,2
Banadir,2018.4849315068493,0,2018,6,27,2
Banadir,2018.4849315068493,1,2018,6,27,2
Banadir,2018.4876712328767,1,2018,6,28,2
Banadir,2018.4876712328767,2,2018,6,28,2
Banadir,2018.4876712328767,1,2018,6,28,2
Banadir,2018.4876712328767,1,2018,6,28,2
Banadir,2018.4876712328767,1,2018,6,28,2
Banadir,2018.490410958904,0,2018,6,29,2
Banadir,2018.490410958904,1,2018,6,29,2
Banadir,2018.490410958904,0,2018,6,29,2
Banadir,2018.490410958904,2,2018,6,29,2
Banadir,2018.490410958904,1,2018,6,29,2
Banadir,2018.490410958904,2,2018,6,29,2
Banadir,2018.4931506849316,0,2018,6,30,2
Banadir,2018.4931506849316,2,2018,6,30,2
Banadir,2018.4931506849316,1,2018,6,30,2
Banadir,2018.4931506849316,0,2018,6,30,2
Banadir,2018.4931506849316,0,2018,6,30,2
Banadir,2018.4931506849316,1,2018,6,30,2
